111年02月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/02/07,"25,312,461","3,593,629,562",142.60,142.80,141.20,142.30,+0.75,"27,821",
111/02/08,"11,521,967","1,648,442,209",143.30,143.50,142.80,142.90,+0.60,"12,271",
111/02/09,"8,470,497","1,211,943,126",143.50,143.50,142.65,143.40,+0.50,"10,362",
111/02/10,"6,325,130","912,680,055",143.90,145.05,143.50,145.05,+1.65,"9,065",
111/02/11,"4,556,282","659,321,520",144.70,145.05,144.05,144.95,-0.10,"6,376",
111/02/14,"12,907,152","1,841,179,721",143.95,143.95,142.20,142.70,-2.25,"23,175",
111/02/15,"8,139,525","1,160,338,475",142.70,143.20,141.95,142.05,-0.65,"16,664",
111/02/16,"6,906,308","995,478,507",143.90,144.45,143.80,144.40,+2.35,"9,252",
111/02/17,"5,161,916","746,195,906",144.40,145.00,144.00,144.50,+0.10,"7,328",
111/02/18,"4,068,622","584,581,991",143.50,144.15,143.05,144.10,-0.40,"5,997",
111/02/21,"4,807,904","689,347,421",143.45,143.85,142.80,143.80,-0.30,"8,772",
111/02/22,"20,814,988","2,943,619,804",142.60,142.65,140.75,141.85,-1.95,"42,631",
111/02/23,"4,803,500","681,745,270",141.85,142.40,141.65,142.25,+0.40,"8,142",
111/02/24,"32,725,876","4,565,434,642",141.10,141.10,138.30,138.80,-3.45,"67,346",
111/02/25,"24,731,645","3,424,810,229",139.05,139.20,137.85,138.50,-0.30,"43,146",
說明:
符號說明:+/-/X表示漲/跌/不比價
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。

