"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","...","1018.5","2022-02-01 22:01","1015.0","2022-02-01 06:31","16.8","19.4","2022-02-01 10:12","15.7","2022-02-01 00:33","...","87","68","2022-02-01 10:12","1.7","83","7.8","94","2022-02-01 03:15","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1016.6","...","1018.4","2022-02-02 00:19","1014.7","2022-02-02 15:11","17.0","20.0","2022-02-02 12:22","15.5","2022-02-02 01:21","...","95","83","2022-02-02 13:49","1.8","104","7.8","91","2022-02-02 12:37","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1014.9","...","1016.2","2022-02-03 09:42","1012.8","2022-02-03 14:56","15.8","17.1","2022-02-03 00:14","14.9","2022-02-03 16:31","...","100","96","2022-02-03 00:51","1.3","299","5.7","260","2022-02-03 15:14","27.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.9","...","1021.6","2022-02-04 23:21","1015.0","2022-02-04 01:41","14.3","15.5","2022-02-04 01:12","12.9","2022-02-04 22:51","...","94","84","2022-02-04 15:08","1.9","96","6.8","92","2022-02-04 12:23","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1021.9","...","1023.2","2022-02-05 21:21","1020.4","2022-02-05 02:21","13.6","14.5","2022-02-05 11:43","12.7","2022-02-05 03:59","...","86","80","2022-02-05 11:47","2.8","100","9.8","83","2022-02-05 20:25","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1020.9","...","1024.2","2022-02-06 10:03","1018.4","2022-02-06 23:51","14.4","16.0","2022-02-06 14:42","12.9","2022-02-06 08:11","...","86","76","2022-02-06 12:21","3.8","86","11.4","92","2022-02-06 15:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.2","...","1018.4","2022-02-07 00:01","1008.1","2022-02-07 14:33","17.6","22.9","2022-02-07 12:05","13.5","2022-02-07 17:32","...","84","59","2022-02-07 12:05","2.6","82","16.7","322","2022-02-07 16:53","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1017.7","...","1020.0","2022-02-08 09:12","1015.9","2022-02-08 04:41","15.6","17.1","2022-02-08 13:21","14.4","2022-02-08 00:01","...","86","72","2022-02-08 13:26","2.2","85","9.0","116","2022-02-08 22:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1016.0","...","1018.4","2022-02-09 09:24","1014.3","2022-02-09 14:11","16.5","17.6","2022-02-09 15:04","15.5","2022-02-09 01:51","...","93","86","2022-02-09 00:01","2.0","85","10.5","69","2022-02-09 03:43","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
